child_id,group,corpus,n_utterances,ref_words,whisper_wer,gensec_wer,improvement
051016d,TD,MacWhinney,20,146,0.6164383561643836,0.3835616438356164,0.23287671232876717
051117b,TD,MacWhinney,91,695,0.6244604316546762,0.539568345323741,0.08489208633093526
051117d,TD,MacWhinney,69,367,0.6130790190735694,0.5640326975476839,0.049046321525885506
060002c,TD,MacWhinney,102,660,0.6166666666666667,0.5121212121212121,0.10454545454545461
060002d,TD,MacWhinney,52,277,0.5884476534296029,0.4729241877256318,0.11552346570397115
060123b,TD,MacWhinney,92,401,0.5187032418952618,0.4538653366583541,0.06483790523690774
060310b,TD,MacWhinney,135,1127,0.354924578527063,0.3220940550133097,0.03283052351375332
060310d,TD,MacWhinney,90,379,0.6596306068601583,0.6517150395778364,0.0079155672823219
060323a,TD,MacWhinney,18,57,0.49122807017543857,0.5614035087719298,-0.07017543859649122
060422d,TD,MacWhinney,202,934,0.556745182012848,0.5235546038543897,0.03319057815845827
060530b,TD,MacWhinney,92,332,0.6445783132530121,0.641566265060241,0.003012048192771122
061119b,TD,MacWhinney,133,658,0.6990881458966566,0.6458966565349544,0.05319148936170215
061119c,TD,MacWhinney,54,219,0.8127853881278538,0.6164383561643836,0.19634703196347025
070018a,TD,MacWhinney,73,269,1.7174721189591078,0.8810408921933085,0.8364312267657993
070309b,TD,MacWhinney,53,185,1.0432432432432432,0.827027027027027,0.21621621621621623
070318b,TD,MacWhinney,59,243,0.5102880658436214,0.5061728395061729,0.004115226337448541
070518b,TD,MacWhinney,60,250,1.24,1.208,0.03200000000000003
070600c,TD,MacWhinney,180,982,0.554989816700611,0.5162932790224033,0.03869653767820769
1100,TD,EHS,71,394,0.9035532994923858,0.9086294416243654,-0.0050761421319796
11006,TD,EllisWeismer,19,158,0.6455696202531646,0.5886075949367089,0.05696202531645567
112,TD,POLER,15,104,0.6442307692307693,0.6826923076923077,-0.038461538461538436
114,TD,POLER,26,87,0.28735632183908044,0.28735632183908044,0.0
12003,TD,EllisWeismer,13,177,0.6440677966101694,0.6214689265536724,0.022598870056497078
12071,TD,EllisWeismer,130,1044,0.6159003831417624,0.5670498084291188,0.048850574712643646
1223,TD,EHS,240,699,0.8669527896995708,0.894134477825465,-0.027181688125894166
125,TD,POLER,22,229,0.6768558951965066,0.6244541484716157,0.05240174672489084
1281,TD,EHS,79,479,0.5720250521920668,0.5260960334029228,0.045929018789144016
14,TD,Gelman,59,232,0.9396551724137931,0.9439655172413793,-0.004310344827586188
146,TD,POLER,19,145,0.32413793103448274,0.30344827586206896,0.02068965517241378
1472,TD,EHS,68,323,0.8823529411764706,0.8575851393188855,0.024767801857585092
1485,TD,EHS,89,467,0.721627408993576,0.7109207708779444,0.010706638115631661
163,TD,POLER,27,216,0.6620370370370371,0.4675925925925926,0.19444444444444448
17,TD,EHS,155,484,1.5433884297520661,0.8884297520661157,0.6549586776859504
21121,TD,EllisWeismer,95,416,0.6225961538461539,0.5865384615384616,0.03605769230769229
23,TD,Gelman,101,324,0.941358024691358,0.9722222222222222,-0.030864197530864224
376,TD,EHS,144,564,0.824468085106383,0.8120567375886525,0.012411347517730542
389,TD,EHS,85,353,0.8186968838526912,0.8101983002832861,0.008498583569405138
47,TD,Gelman,160,701,0.9072753209700428,0.9472182596291013,-0.03994293865905851
5012,TD,OCSC,507,2104,0.5960076045627376,0.528041825095057,0.06796577946768056
5015,TD,OCSC,389,1213,0.5861500412201154,0.5325638911788954,0.053586150041220026
504,TD,ENNI,125,976,0.42418032786885246,0.31864754098360654,0.10553278688524592
5040,TD,OCSC,386,1164,0.6262886597938144,0.5609965635738832,0.06529209621993126
5051,TD,OCSC,448,1400,0.5514285714285714,0.5114285714285715,0.039999999999999925
506,TD,ENNI,77,560,0.2571428571428571,0.2017857142857143,0.05535714285714283
514,TD,ENNI,78,624,0.34775641025641024,0.28205128205128205,0.0657051282051282
52,TD,Gelman,129,612,0.9068627450980392,0.9281045751633987,-0.021241830065359513
528,TD,ENNI,130,951,0.4058885383806519,0.31335436382754994,0.09253417455310198
545,TD,ENNI,62,413,0.38498789346246975,0.31476997578692495,0.0702179176755448
549,TD,ENNI,105,810,0.23580246913580247,0.14320987654320988,0.09259259259259259
551,TD,ENNI,135,798,0.2857142857142857,0.19172932330827067,0.09398496240601503
6006,TD,OCSC,582,2482,0.41982272360999195,0.3533440773569702,0.06647864625302174
6010,TD,OCSC,417,1583,0.4428300694883133,0.41945672773215414,0.023373341756159183
6013,TD,OCSC,635,2651,0.4036212749905696,0.3323274236137307,0.07129385137683891
6017,TD,OCSC,493,1436,0.5766016713091922,0.5194986072423399,0.05710306406685228
6022,TD,OCSC,382,1589,0.4134675896790434,0.31655129011957206,0.09691629955947134
6024,TD,OCSC,479,2538,0.35697399527186763,0.2907801418439716,0.06619385342789602
6027,TD,OCSC,388,1683,0.42245989304812837,0.3553178847296494,0.06714200831847894
6030,TD,OCSC,385,2321,0.35243429556225764,0.25549332184403273,0.09694097371822491
6032,TD,OCSC,481,2121,0.34417727487034416,0.272984441301273,0.07119283356907119
6036,TD,OCSC,441,1807,0.3945766463752075,0.31322634200332045,0.08135030437188706
60417,TD,Braunwald,384,1526,0.7896461336828309,0.8125819134993447,-0.022935779816513846
6044,TD,OCSC,306,987,0.45390070921985815,0.4083080040526849,0.04559270516717323
6059,TD,OCSC,543,2403,0.3141905950894715,0.2338743237619642,0.0803162713275073
62,TD,EHS,138,657,0.7656012176560122,0.7442922374429224,0.0213089802130898
626,TD,ENNI,83,598,0.5150501672240803,0.4498327759197324,0.06521739130434784
636,TD,ENNI,75,645,0.25426356589147286,0.15968992248062017,0.0945736434108527
637,TD,ENNI,55,392,0.47959183673469385,0.4362244897959184,0.043367346938775475
645,TD,ENNI,142,1071,0.4668534080298786,0.35014005602240894,0.11671335200746968
652,TD,ENNI,60,421,0.44418052256532065,0.32779097387173395,0.1163895486935867
656,TD,ENNI,86,535,0.28598130841121494,0.19439252336448598,0.09158878504672896
658,TD,ENNI,111,771,0.4072632944228275,0.2594033722438392,0.1478599221789883
7004,TD,OCSC,432,1906,0.3530954879328437,0.3242392444910808,0.028856243441762852
7014,TD,OCSC,538,2093,0.5188724319159101,0.44672718585762067,0.07214524605828948
7019,TD,OCSC,403,1742,0.4133180252583238,0.40298507462686567,0.010332950631458115
702,TD,ENNI,63,392,0.3112244897959184,0.14030612244897958,0.1709183673469388
7022,TD,OCSC,422,1442,0.6851595006934813,0.42857142857142855,0.25658807212205276
7028,TD,OCSC,394,2124,0.3013182674199623,0.2344632768361582,0.06685499058380412
7047,TD,OCSC,510,1746,0.6575028636884307,0.413516609392898,0.24398625429553267
718,TD,ENNI,109,847,0.3742621015348288,0.21605667060212513,0.15820543093270367
720,TD,ENNI,81,731,0.16826265389876882,0.10259917920656635,0.06566347469220248
722,TD,ENNI,83,644,0.30124223602484473,0.16614906832298137,0.13509316770186336
732,TD,ENNI,109,786,0.3256997455470738,0.21755725190839695,0.10814249363867687
748,TD,ENNI,76,669,0.16591928251121077,0.09267563527653214,0.07324364723467863
754,TD,ENNI,61,500,0.334,0.274,0.06
761,TD,EHS,301,1295,0.6942084942084942,0.6965250965250965,-0.0023166023166023564
768,TD,ENNI,119,1021,0.24975514201762977,0.06953966699314397,0.18021547502448582
800,TD,EHS,35,150,0.7133333333333334,0.6866666666666666,0.026666666666666727
8003,TD,OCSC,557,3073,0.24341034819394727,0.17474780344939797,0.0686625447445493
8007,TD,OCSC,665,2569,0.35889451148306734,0.3141300116776956,0.04476449980537173
8009,TD,OCSC,761,3403,0.3373493975903614,0.26888039964737,0.06846899794299144
8012,TD,OCSC,434,1882,0.3931987247608927,0.3336875664187035,0.059511158342189174
8014,TD,OCSC,579,2959,0.39506590064210884,0.32848935451165934,0.0665765461304495
802,TD,ENNI,100,788,0.29949238578680204,0.16116751269035534,0.1383248730964467
8021,TD,OCSC,729,3206,0.36213349968808484,0.314410480349345,0.04772301933873985
8029,TD,OCSC,462,2182,0.3006416131989001,0.20302474793767186,0.09761686526122823
8040,TD,OCSC,246,895,0.30837988826815643,0.23016759776536314,0.0782122905027933
8045,TD,OCSC,591,2437,0.4058268362741075,0.327041444398851,0.07878539187525646
8047,TD,OCSC,710,2916,0.35425240054869683,0.26440329218106995,0.08984910836762688
812,TD,ENNI,89,753,0.2682602921646746,0.16069057104913678,0.10756972111553784
822,TD,ENNI,171,1297,0.18272937548188126,0.1110254433307633,0.07170393215111796
824,TD,ENNI,98,611,0.26677577741407527,0.19639934533551553,0.07037643207855973
830,TD,ENNI,77,557,0.17594254937163376,0.12746858168761221,0.04847396768402154
844,TD,ENNI,179,1251,0.3029576338928857,0.16386890487609912,0.1390887290167866
850,TD,ENNI,95,885,0.27231638418079096,0.1536723163841808,0.11864406779661016
867,TD,ENNI,101,956,0.24163179916317992,0.16527196652719664,0.07635983263598328
959,TD,ENNI,85,680,0.2338235294117647,0.16323529411764706,0.07058823529411765
JL,TD,Nippold,70,484,0.9338842975206612,0.9338842975206612,0.0
ZM,TD,Nippold,81,569,0.8312829525483304,0.7803163444639719,0.05096660808435849
allmt3,TD,HSLLD,45,280,0.7821428571428571,0.775,0.0071428571428571175
annmt5,TD,HSLLD,112,475,0.8926315789473684,0.9073684210526316,-0.01473684210526316
astmt3,TD,HSLLD,49,290,0.6551724137931034,0.6517241379310345,0.0034482758620689724
bobbr2,TD,HSLLD,42,158,0.8354430379746836,0.8734177215189873,-0.03797468354430378
catmt2,TD,HSLLD,64,252,0.8809523809523809,0.9007936507936508,-0.019841269841269882
catmt3,TD,HSLLD,46,208,0.8605769230769231,0.8509615384615384,0.009615384615384692
cla108,TD,Rescorla,82,685,0.3970802919708029,0.3386861313868613,0.05839416058394159
diamt3,TD,HSLLD,83,270,0.8333333333333334,0.8888888888888888,-0.05555555555555547
donbr2,TD,HSLLD,25,122,0.8934426229508197,0.9180327868852459,-0.024590163934426257
frank,TD,Gleason,266,857,0.5285880980163361,0.4935822637106184,0.03500583430571769
gr160,TD,Rescorla,110,468,0.6730769230769231,0.6901709401709402,-0.017094017094017033
gr2108,TD,Rescorla,67,425,0.6470588235294118,0.5764705882352941,0.07058823529411773
jesmt3,TD,HSLLD,66,272,0.8786764705882353,0.9411764705882353,-0.0625
ker108,TD,Rescorla,52,457,0.7833698030634574,0.7133479212253829,0.07002188183807445
kevmt3,TD,HSLLD,82,314,0.7547770700636943,0.7834394904458599,-0.0286624203821656
lav108,TD,Rescorla,47,274,0.5182481751824818,0.4854014598540146,0.03284671532846717
megmt3,TD,HSLLD,134,575,0.671304347826087,0.6365217391304347,0.034782608695652195
montp2,TD,HSLLD,22,91,0.9340659340659341,0.978021978021978,-0.04395604395604391
per60,TD,Rescorla,114,557,0.6804308797127468,0.6247755834829444,0.055655296229802476
rilmt3,TD,HSLLD,76,261,0.9042145593869731,0.9080459770114943,-0.003831417624521105
rosmt5,TD,HSLLD,77,437,1.0091533180778032,1.0160183066361557,-0.006864988558352492
sarmt3,TD,HSLLD,120,536,0.8283582089552238,0.8059701492537313,0.02238805970149249
tro108,TD,Rescorla,67,536,0.9589552238805971,0.8544776119402985,0.10447761194029859
